,사업장명,지번주소,도로명주소,위도,경도,인허가일자,인허가취소일자,영업상태코드,폐업일자,휴업시작일자,휴업종료일자,재개업일자,데이터갱신일자,업태구분명,한실수,양실수,욕실수
0,어반스테이 명동,서울특별시 중구 인현동1가 158,"서울특별시 중구 충무로 24, 3~17층 (인현동1가)",,,2021-01-15,,1,,,,,2022-12-03 00:03:00.0,숙박업(생활),,,
1,오요5(oYo5),서울특별시 중구 남산동2가 35-2,"서울특별시 중구 퇴계로18길 43, 지층, 1~2층 (남산동2가)",37.5589341416416,126.984837685013,2019-08-02,,1,,,,,2022-12-03 00:03:00.0,관광호텔,,,
2,더스테이클래식호텔,서울특별시 중구 남대문로3가 94,서울특별시 중구 남대문로 27 (남대문로3가),37.5614803705066,126.978524755613,2023-03-13,,1,,,,,2022-12-02 23:05:00.0,숙박업(생활),,,
3,오요5롯지A(oYo5LodgeA),서울특별시 중구 남산동2가 33-3 1~2층,"서울특별시 중구 퇴계로18길 41 (남산동2가, 1~2층)",37.5591075118053,126.98498104754,2017-04-26,,1,,,,,2022-12-03 00:03:00.0,숙박업 기타,,,
4,오요5롯지B(oYo5LodgeB),"서울특별시 중구 남산동2가 33 1,2층","서울특별시 중구 퇴계로18길 37 (남산동2가, 1,2층)",37.5592217658029,126.985040669975,2017-04-26,,1,,,,,2022-12-03 00:03:00.0,관광호텔,,,
5,인구로스페이스,서울특별시 구로구 구로동 141-6,서울특별시 구로구 도림로19길 8 (구로동),37.4900208931672,126.891328339661,1975-12-20,,1,,,,,2022-12-03 00:03:00.0,여인숙업,,,
6,타임모텔,서울특별시 서대문구 대현동 104-40,서울특별시 서대문구 연세로2길 98 (대현동),37.5569826989057,126.942111433988,1990-12-24,,1,,,,,2022-12-02 23:01:00.0,여관업,,,
7,베스테이린,서울특별시 관악구 봉천동 866-4,서울특별시 관악구 남부순환로220길 34 (봉천동),37.4797547069873,126.951435011192,1986-07-15,,1,,,,,2022-12-03 00:04:00.0,일반호텔,,,
8,더문 호텔,서울특별시 영등포구 영등포동3가 17-9,서울특별시 영등포구 영중로8길 13 (영등포동3가),37.5185618190377,126.90713337896,2003-02-26,,1,,,,,2022-12-03 00:09:00.0,일반호텔,,,
9,유모텔,서울특별시 강북구 미아동 42-206,서울특별시 강북구 월계로3길 3-5 (미아동),37.6097926813623,127.03088628932,1980-07-22,,1,,,,,2022-12-03 00:09:00.0,여관업,,,
10,하이빌모텔,서울특별시 강북구 미아동 160-22,서울특별시 강북구 덕릉로28길 26 (미아동),37.633518705826,127.024093962613,1978-04-21,,1,,,,,2022-12-03 00:09:00.0,여관업,,,
11,호텔야자 강서구청점,서울특별시 강서구 화곡동 24-60,서울특별시 강서구 화곡로 248-8 (화곡동),37.5471981777424,126.846387539476,2000-07-13,,1,,,,,2022-12-02 23:01:00.0,일반호텔,,,
