,인허가일자,인허가취소일자,영업상태코드,폐업일자,휴업시작일자,휴업종료일자,재개업일자,지번주소,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y),위도,경도
0,2015-02-03,,1,,,,,서울특별시 강남구 개포동 1229-14,서울특별시 강남구 논현로 66 (개포동),6307.0,호텔 데님(Hotel Denim),204053.596300672,441557.179656218,37.4761898374266,127.046615783737
1,2016-05-17,,3,2023-02-28,,,,서울특별시 중구 회현동1가 194-15,"서울특별시 중구 퇴계로 52 (회현동1가, 인송빌딩)",4634.0,티마크그랜드호텔명동,198043.635511275,450686.849956646,37.5584542141531,126.978646384966
2,2021-04-06,,1,,,,,서울특별시 금천구 독산동 335-21,서울특별시 금천구 가산로3길 103 (독산동),8526.0,위너스,190183.499829289,441092.525925225,37.4719591362672,126.88981682459
3,2014-07-22,,1,,,,,서울특별시 중구 충무로1가 24-30,서울특별시 중구 퇴계로 107 (충무로1가),4536.0,데이즈 호텔 명동,198484.096465671,450963.971753178,37.5609527542889,126.983631098738
4,2016-03-29,,2,,2023-01-01,2023-12-31,,서울특별시 강남구 논현동 205-8,"서울특별시 강남구 봉은사로 143 (논현동, 운현오피스텔)",6122.0,강남패밀리호텔,202596.666692428,444917.728061158,37.5064735388581,127.030156367516
5,2017-09-29,,1,,,,,서울특별시 용산구 한강로3가 40-969 서울드래곤시티,"서울특별시 용산구 청파로20길 95, 서울드래곤시티 (한강로3가)",4372.0,(주)서부티엔디 노보텔 앰배서더 서울 용산,196610.663839509,447742.348636253,37.5319146846199,126.962788981096
6,2020-09-10,,1,,,,,서울특별시 중구 회현동1가 100-104,서울특별시 중구 퇴계로8길 93 (회현동1가),4633.0,남산스토리 나인,198229.100381804,450386.97375941,37.5557536554398,126.980746416771
7,2016-01-07,,1,,,,,서울특별시 중구 장교동 74,"서울특별시 중구 삼일대로 362 (장교동, 장교빌딩)",4541.0,롯데시티호텔명동,198876.925292257,451628.15318809,37.5669367134426,126.98807580841
8,2021-12-20,,1,,,,,서울특별시 영등포구 양평동1가 136,서울특별시 영등포구 선유로23길 4 (양평동1가),7272.0,ROJIN(로진),190171.844795511,446760.131273728,37.5230248129931,126.889609075944
9,2022-06-16,,1,,,,,서울특별시 강남구 논현동 74-6,서울특별시 강남구 논현로 734 (논현동),6049.0,아난티 앳 강남,202545.820550895,446151.727131374,37.5176026218653,127.029567890475
10,2023-03-27,,1,,,,,서울특별시 용산구 한강로3가 40-708,서울특별시 용산구 한강대로23길 25 (한강로3가),4378.0,나인트리 프리미어 로카우스호텔 서울 용산(Nine Tree Premier ROKAUS Hotel Seoul Yongsan),196785.404801941,447267.982864433,37.5276520096644,126.964424036493
11,2015-12-07,,1,,,,,서울특별시 영등포구 영등포동4가 73,서울특별시 영등포구 영신로34길 33 (영등포동4가),7301.0,JARDIN HOTEL,191503.413709394,446331.214545378,37.5191736255567,126.904677270326
12,20171229,,1,,,,,서울특별시 송파구 잠실동 180-7,서울특별시 송파구 백제고분로7길 23-6 (잠실동),5557.0,호텔포레스타1호점,207148.374688088,445418.562120928,37.5109623980756,127.08164024438
13,20221111,,1,,,,,서울특별시 중구 필동1가 44-1,서울특별시 중구 충무로 7 (필동1가),4554.0,G3호텔,199303.889590262,451060.843010573,37.5618266518125,126.992909424112
14,20170213,,1,,,,,서울특별시 중구 남산동2가 36-6,"서울특별시 중구 소공로6길 29, 1-2층 (남산동2가)",4631.0,우주 남산점,198584.404622916,450706.008067198,37.5586364437507,126.984772101991
15,20191015,,1,,,,,서울특별시 관악구 신림동 1432-62,"서울특별시 관악구 신림로65길 10-33, 삼화 (신림동)",8760.0,삼화,193621.587472621,442638.239212304,37.4859164167929,126.928669568022
16,20140618,,1,,,,,서울특별시 관악구 신림동 1422-18,서울특별시 관악구 신림로64길 28 (신림동),8754.0,나이스타임 관광호텔,193854.011442373,442535.270597645,37.4849902065191,126.931298351144
17,20170829,,3,20221017,,,,서울특별시 관악구 신림동 1432-93,서울특별시 관악구 신림로65길 16-4 (신림동),8760.0,스트디오93,193620.500955237,442568.3947366,37.4852879567366,126.928658180383
18,20180503,,1,,,,,서울특별시 강서구 마곡동 766-1 메리어트호텔,"서울특별시 강서구 마곡중앙12로 10, 메리어트호텔 (마곡동)",7789.0,코트야드 메리어트 서울 보타닉파크,,,37.5670161653345,126.828976147839
19,2018-01-29,,1,,,,,서울특별시 마포구 동교동 160-5 롯데호텔 L7홍대,"서울특별시 마포구 양화로 141, 롯데호텔 L7홍대 (동교동)",3995.0,(주)호텔롯데 L7홍대,193005.883365365,450387.023230304,37.5557239014989,126.921631579426
20,20160202,,1,,,,,서울특별시 동작구 신대방동 698,"서울특별시 동작구 시흥대로 596 (신대방동, 신라스테이해링턴타워)",7074.0,신라스테이,191481.81674639,442602.765890516,37.4855793853597,126.904476195421
21,20150427,,1,,,,,서울특별시 서대문구 미근동 333,서울특별시 서대문구 충정로 76 (미근동),3738.0,신라스테이서대문,196994.923667002,451431.128628393,37.5651572276797,126.966774328509
22,20200525,,1,,,,,서울특별시 구로구 가리봉동 135-90,서울특별시 구로구 남부순환로105다길 13 (가리봉동),8395.0,골드 마운틴77,190302.811716913,441970.080120562,37.4799011070086,126.891203594462
23,20150309,,1,,,,,서울특별시 중구 충무로2가 53-10,서울특별시 중구 삼일대로 302 (충무로2가),4553.0,이비스 스타일 앰배서더 서울 명동,198990.202955049,451044.895347229,37.5616825861454,126.989359120022
24,2017-12-15,,1,,,,,서울특별시 강남구 삼성동 142-41,"서울특별시 강남구 테헤란로 415, L7 HOTELS 강남타워 (삼성동)",6160.0,(주)호텔롯데 L7 강남,204488.365267013,444832.873128843,37.5057027179383,127.051550959968
25,2015-10-02,,1,,,,,서울특별시 성동구 용답동 228-12,서울특별시 성동구 자동차시장1길 27 (용답동),4808.0,호스텔 27,205288.987166136,451015.467879096,37.5614033157753,127.06064967412
26,2014-07-21,,1,,,,,서울특별시 구로구 구로동 188-25 지밸리비즈플라자,"서울특별시 구로구 디지털로 300, 지밸리비즈플라자 (구로동)",8379.0,(주)호텔롯데 롯데시티호텔 구로,190779.824680954,442527.527966789,37.4848946937354,126.896539890577
27,2009-03-09,,1,,,,,서울특별시 마포구 공덕동 467 롯데캐슬프레지던트,"서울특별시 마포구 마포대로 109 (공덕동, 롯데캐슬프레지던트)",4146.0,(주)호텔롯데 롯데시티 호텔마포,195564.375757848,449186.933273231,37.5448825237705,126.950548979183
28,2020-04-01,,1,,,,,서울특별시 강남구 삼성동 168-3 유니온타워,"서울특별시 강남구 영동대로 506, 유니온타 (삼성동)",6173.0,신라스테이 삼성,205513.023202982,445316.784823869,37.5100573227007,127.063143122583
29,1978-05-01,,1,,,,,서울특별시 강남구 청담동 53-7,"서울특별시 강남구 영동대로 737 (청담동, 호텔리베라)",6071.0,호텔리베라서울,204714.758457103,446852.078363788,37.5238945447249,127.054124187197
30,2016-09-23,,1,,,,,서울특별시 강남구 신사동 502-11,"서울특별시 강남구 강남대로 620, 3층 (신사동, 영일빌딩)",6035.0,어바웃스테이 신사점,201684.704785227,446105.858997581,37.5171814543146,127.019845104141
31,20070816,,1,,,,,서울특별시 영등포구 여의도동 28-3,"서울특별시 영등포구 여의대로 8 (여의도동, 여의도파크센터)",7320.0,메리어트 이그제큐티브 아파트먼트 서울,192739.314354154,446552.469845648,37.5211769172422,126.918654960576
32,20141127,,1,,,,,서울특별시 영등포구 양평동2가 40-5,서울특별시 영등포구 영등포로 9 (양평동2가),7276.0,호텔 브릿지,189552.021760333,446847.704378567,37.523807057583,126.882596179332
33,1989-09-12,,2,,2023-03-01,2023-08-31,,서울특별시 강남구 논현동 248-7,"서울특별시 강남구 언주로 640 (논현동, 임페리얼팰리스호텔)",6098.0,임피리얼팰리스호텔,203102.074986325,445751.652027981,37.5139856872084,127.035875892358
34,20070703,,1,,,,,서울특별시 중구 명동1가 59-5,서울특별시 중구 남대문로 78 (명동1가),,이비스 앰배서더 명동,198433.903211956,451323.216289926,37.5641894140338,126.983062193942
35,20031013,,1,,,,,서울특별시 강남구 대치동 893-1,서울특별시 강남구 삼성로 431 (대치동),,이비스 스타일 앰배서더 강남,204976.284445723,444767.617235233,37.505111464434,127.057068458462
36,20221125,,1,,,,,서울특별시 중구 충무로1가 21-17,서울특별시 중구 명동8나길 38 (충무로1가),4535.0,목시 서울 명동,198403.083197305,451049.012425837,37.5617188311906,126.982713923738
37,19971230,,3,20220418,,,,서울특별시 강남구 논현동 6 6-1,"서울특별시 강남구 도산대로 144 (논현동, 영동관광호텔)",6040.0,영동관광호텔,202108.433846703,446160.618240423,,
38,19700701,,1,,,,,서울특별시 중구 인현동2가 73-1,서울특별시 중구 마른내로 71 (인현동2가),,호텔 PJ,199550.506270874,451392.219693582,37.5648116074415,126.995700232349
39,20020706,,1,,,,,서울특별시 강서구 외발산동 426,서울특별시 강서구 방화대로 94 (외발산동),,메이필드호텔,183863.692502412,449443.610735042,37.5471176651686,126.818418581799
40,20130925,,1,,,,,서울특별시 종로구 익선동 34-8 호텔 이비스앰배서더 인사동,"서울특별시 종로구 삼일대로30길 31 (익선동, 호텔 이비스앰배서더 인사동)",3132.0,호텔 이비스앰배서더 인사동,198977.911015975,452460.663046516,37.5744408529329,126.989219311582
41,20180611,,1,,,,,서울특별시 종로구 인사동 34-2,서울특별시 종로구 인사동길 20-9 (인사동),3163.0,호텔쿠레타케소,198797.815432789,452231.193562946,37.5723707934704,126.987179538283
42,20130213,,1,,,,,서울특별시 종로구 익선동 46,서울특별시 종로구 삼일대로32가길 33 (익선동),3132.0,호텔 다다-인사,199006.378605147,452484.083300535,37.5746487412535,126.989539870839
43,2016-01-12,,1,,,,,서울특별시 중구 충무로2가 62-12,서울특별시 중구 퇴계로 137 (충무로2가),4537.0,호텔롯데 엘세븐명동,198780.018679349,451009.773589561,37.5613659177411,126.986980299262
44,2011-11-30,,1,,,,,서울특별시 강서구 방화동 886 외 6필지,서울특별시 강서구 하늘길 38 (방화동),7505.0,(주)호텔롯데 롯데시티호텔 김포공항,182524.823835629,451438.25089679,,
45,2023-02-08,,1,,,,,서울특별시 구로구 구로동 707-11,서울특별시 구로구 가마산로 158-2 (구로동),8310.0,"지니의 2층 3룸 주택(Genie's second floor, three room house)",189450.264635122,443088.528795632,37.489935037708,126.881499133677
46,19670403,,2,,20230101,20271231,,서울특별시 종로구 종로2가 9 (8층),"서울특별시 종로구 종로 69 (종로2가, YMCA)",3164.0,서울YMCA관광호텔,198630.79627088,452035.412646906,37.5706057036739,126.9852891232
47,20150420,,3,20220215,,,,서울특별시 종로구 견지동 21 ,"서울특별시 종로구 율곡로4길 11-3, 1층 (견지동)",3144.0,아름호스텔,198354.893145135,452526.073191496,37.5750260949758,126.982164870236
48,2023-02-15,,1,,,,,서울특별시 종로구 원남동 233 종로하루,"서울특별시 종로구 창경궁로21가길 5-3, 종로하루 (원남동)",3136.0,종로하루,199626.352160596,452520.392539419,37.5749772066636,126.996558291984
49,20130512,,3,20201127,,,,서울특별시 종로구 익선동 89 ,서울특별시 종로구 삼일대로32가길 38 (익선동),3132.0,Hostel STAY NOW,199022.300982384,452472.976006603,37.5745494674881,126.989720329128
50,2018-02-14,,1,,,,,서울특별시 종로구 숭인동 1405,서울특별시 종로구 난계로29길 19-11 (숭인동),3116.0,루미아호텔,201895.419403144,452395.129773561,37.5738460345582,127.022244034845
51,20220526,,1,,,,,서울특별시 영등포구 양평동1가 31-5 가온,"서울특별시 영등포구 선유로24길 3-3, 가온 (양평동1가)",7262.0,가온,190266.579204407,446769.272182126,37.5231082514333,126.89068069393
52,20220418,,1,,,,,서울특별시 강남구 논현동 6 보코서울강남(가족호텔),"서울특별시 강남구 도산대로 144, 보코서울강남(가족호텔) (논현동)",6040.0,보코 서울 강남,202108.433846703,446160.618240423,37.5176731303712,127.024637971318
53,20160913,,1,,,,,서울특별시 은평구 응암동 109-7,서울특별시 은평구 은평로8길 1 (응암동),3454.0,브릭스관광호텔,192971.089564435,455290.104972775,37.5999038501185,126.921192430803
54,20220329,,1,,,,,서울특별시 중구 회현동2가 42-10,"서울특별시 중구 소공로6나길 8, 1-2층 (회현동2가)",4630.0,제이오너 호스텔,198483.811641009,450642.314853297,37.5580546970379,126.983628563751
55,20150126,,1,,,,,서울특별시 종로구 권농동 127-1,서울특별시 종로구 율곡로10길 11 (권농동),3134.0,셀립 순라,199156.623916493,452747.807991092,37.5770258834462,126.991240571817
56,2022-02-18,,1,,,,,서울특별시 금천구 독산동 1006-112,서울특별시 금천구 범안로12길 29-29 (독산동),8602.0,로즈데일 인 독산,190517.410148318,440300.104174246,37.464822907317,126.893601814839
57,20120928,,3,20230113,,,,서울특별시 종로구 견지동 65-1,서울특별시 종로구 우정국로 46 (견지동),3145.0,(주)아워홈 아벤트리호텔 종로점,198469.85451949,452315.746209246,37.5731321231843,126.983467010025
58,20131016,,3,20220502,,,,서울특별시 중구 충무로3가 43,서울특별시 중구 충무로 15 (충무로3가),4554.0,티마크호텔명동,199273.815368546,451144.90452668,37.5625831076167,126.992568781307
59,20210217,,1,,,,,서울특별시 영등포구 여의도동 22 파크원,"서울특별시 영등포구 여의대로 108, 파크원호텔 (여의도동)",7335.0,페어몬트 앰배서더 서울(Fairmont Ambassador Seoul),193592.000380036,447092.629432527,37.526042541885,126.928299685623
60,20140620,,3,20211231,,,,서울특별시 중구 을지로7가 58-1,서울특별시 중구 을지로 280-2 (을지로7가),4565.0,24게스트하우스동대문,200730.296204033,451454.338715818,37.5653720284734,127.009054164218
61,2012-11-09,,1,,,,,서울특별시 종로구 관훈동 198-42,서울특별시 종로구 인사동5길 38 (관훈동),3149.0,아미드 호텔 서울,198534.549198735,452256.166993396,37.5725945997533,126.984199188728
62,20211222,,1,,,,,서울특별시 마포구 동교동 162-5 MERCURE 앰배서더 HOTEL 홍대,"서울특별시 마포구 양화로 144, MERCURE 앰배서더 HOTEL 홍대 (동교동)",4050.0,머큐어 앰배서더 서울 홍대,193073.64466155,450341.82321403,37.5552870564155,126.922387127746
63,2019-07-26,,1,,,,,서울특별시 중구 남산동2가 35-2,"서울특별시 중구 퇴계로18길 43, 지하1,1,2층 (남산동2가)",4631.0,오요5,198591.133748202,450740.353160129,37.5589381968114,126.984843003587
64,2012-04-04,,1,,,,,서울특별시 종로구 관수동 124 외1,서울특별시 종로구 청계천로 117 (관수동),3192.0,호텔베뉴지,199121.144814384,451827.704774757,37.5687357982902,126.990840158709
65,20150624,,1,,,,,서울특별시 중구 광희동2가 17 ,서울특별시 중구 장충단로 226 (광희동2가),4565.0,소테츠호텔즈 더 스프라지르 서울 동대문,200614.724711748,451381.249500534,37.5647127725644,127.007745751574
66,19900402,,1,,,,,서울특별시 종로구 평창동 66-50,"서울특별시 종로구 평창문화로 136 (평창동, 킴스관광호텔)",3010.0,동화킴스관광호텔,197733.39181877,456346.84737021,37.6094501021909,126.975117393694
67,20111011,,1,,,,,서울특별시 마포구 상암동 1587,"서울특별시 마포구 월드컵북로58길 15 (상암동, 스탠포드호텔코리아)",3922.0,스탠포드호텔코리아(주) 스탠포드호텔서울,189919.550051873,453342.222208599,37.5823228908933,126.886661453906
68,20191206,,1,,,,,서울특별시 영등포구 영등포동1가 106,서울특별시 영등포구 신길로 293 (영등포동1가),7306.0,토요코인 서울영등포,192146.822955396,446159.381031744,37.5177067665494,126.911956247141
69,20220120,,1,,,,,서울특별시 중구 남대문로2가 9-1,서울특별시 중구 남대문로 84 (남대문로2가),4534.0,스탠포드호텔 명동,198401.701305913,451374.312212737,37.5646489593288,126.982697400493
70,20210916,,1,,,,,서울특별시 광진구 광장동 327-1,서울특별시 광진구 아차산로76가길 12 (광장동),4969.0,나무호텔,209407.745384399,449459.252995276,37.5473494032126,127.107246506654
71,2017-04-21,,1,,,,,서울특별시 중구 남산동2가 33,서울특별시 중구 퇴계로18길 37 (남산동2가),4631.0,오요 5 롯지B (OYO 5 Lodge B),198607.670947146,450770.829936259,37.5592128445981,126.985030146107
72,20221122,,1,,,,,서울특별시 영등포구 당산동1가 186-74 퍼스티어 호스텔,"서울특별시 영등포구 영등포로27길 17, 퍼스티어 호스텔 (당산동1가)",7265.0,SD Firstier,191019.994049092,446713.408294767,37.5226125333536,126.899204269432
73,20220713,,1,,,,,서울특별시 관악구 남현동 1061-2 3~7층,"서울특별시 관악구 남현1길 66, 3~7층 (남현동)",8807.0,더리프 사당점,198260.085928707,441503.878702568,,
74,2018-05-03,,1,,,,,서울특별시 중구 남산동2가 27-12,서울특별시 중구 퇴계로20길 32-10 (남산동2가),4630.0,호텔룩홈,198676.510359648,450673.848023552,37.5583382527786,126.985809097039
75,2017-04-24,,1,,,,,서울특별시 중구 남산동2가 33-3,서울특별시 중구 퇴계로18길 41 (남산동2가),4631.0,오요5 롯지A(OYO 5 Lodge A),198602.1192505,450758.364666589,37.559100482271,126.984967241127
76,20150112,,3,20220422,,,,서울특별시 중구 을지로3가 95-7,서울특별시 중구 충무로9길 20 (을지로3가),4543.0,스타즈호텔 명동1호점,199172.465802722,451638.530759379,37.5670314283051,126.991421263022
77,1987-08-11,,1,,,,,서울특별시 중구 소공동 1,"서울특별시 중구 을지로 30 (소공동, 롯데호텔)",4533.0,호텔롯데,198259.65357739,451392.198218657,37.5648098108631,126.981089534575
78,20130219,,1,,,,,서울특별시 중구 충무로2가 62-2 ,서울특별시 중구 명동8가길 38 (충무로2가),4537.0,더 그랜드호텔 명동,198797.29864019,451041.893325607,37.561655339285,126.987175828686
79,20040101,,1,,,,,서울특별시 송파구 석촌동 158,"서울특별시 송파구 석촌호수로 216 (석촌동, 호텔 레이크)",5610.0,레이크호텔,208851.639893799,444965.4232772,37.5068657862399,127.100899982615
80,20220714,,1,,,,,서울특별시 용산구 이태원동 99-16 소망빌딩,서울특별시 용산구 보광로 103-2 (이태원동),4391.0,H호스텔,199451.81421534,447757.249356311,37.5320607988573,126.994586232986
81,19870708,,1,,,,,서울특별시 중구 장충동2가 산 5-5,서울특별시 중구 장충단로 60 (장충동2가),,반얀트리 클럽 앤 스파 서울,200193.232424569,449809.744684888,37.5505630772678,127.003666577537
82,20141010,,1,,,,,서울특별시 중구 오장동 181-4 ,서울특별시 중구 동호로 346 (오장동),4561.0,베이튼호텔,200171.935816725,451444.246421136,37.5652805324946,127.002733948586
83,19690328,,1,,,,,서울특별시 중구 을지로1가 188-3 ,서울특별시 중구 을지로 16 (을지로1가),,프레지던트호텔,198113.370663648,451483.299976911,37.5656303414928,126.979433601965
84,20141002,,1,,,,,서울특별시 강남구 역삼동 675-3,서울특별시 강남구 언주로 517 (역삼동),6139.0,호텔 신라스테이 역삼(Hotel Shilla Stay Yeoksam),203578.799034139,444715.394917107,37.5046473575801,127.04126319182
85,20220818,,1,,,,,서울특별시 영등포구 영등포동4가 104-17 오베르,"서울특별시 영등포구 영신로30길 14-1, 오베르 (영등포동4가)",7301.0,오베르,191332.505449152,446266.920603505,37.518592795304,126.902744715714
86,20120322,,1,,,,,서울특별시 강남구 역삼동 642,서울특별시 강남구 테헤란로25길 10 (역삼동),6132.0,AC 호텔 바이 메리어트 서울 강남,203065.439088667,444338.739765925,37.5012555156135,127.035455772627
87,19690415,,1,,,,,서울특별시 중구 남산동2가 1-1 ,서울특별시 중구 퇴계로 130 (남산동2가),,서울프린스호텔,198717.824491651,450932.964839778,37.5606737824061,126.986276545427
88,2022-10-12,,1,,,,,서울특별시 마포구 마포동 450 나루,서울특별시 마포구 마포대로 8 (마포동),4176.0,호텔 나루,,,37.5371800472604,126.944256035067
89,20081022,,1,,,,,서울특별시 중구 순화동 214-0 외 1필지,"서울특별시 중구 통일로 78 (순화동,외 1필지)",,디에스디엘(주) 프레이저 플레이스 센트럴 서울,197268.885433824,451148.620978965,,
90,20040513,,1,,,,,서울특별시 강남구 논현동 18-2,"서울특별시 강남구 강남대로 588 (논현동, 렉스관광호텔)",6043.0,렉스 관광 호텔,201746.195,445794.05,37.5143711050416,127.020539655136
91,1986-10-01,,1,,,,,서울특별시 송파구 잠실동 40-1,서울특별시 송파구 올림픽로 240 (잠실동),5554.0,호텔롯데 롯데호텔월드,208589.363343145,445455.90405262,37.5112866236555,127.097939034042
92,20220725,,1,,,,,서울특별시 서대문구 대현동 101-9,서울특별시 서대문구 이화여대1길 42-3 (대현동),3766.0,비욘드스위트(BEYOND SUITE),194928.380121094,450562.353002856,37.5573204719476,126.943389837138
93,20111104,,1,,,,,서울특별시 동대문구 청량리동 30-6,서울특별시 동대문구 왕산로 269 (청량리동),2488.0,BENIKEA Hotel FLOWER,204390.028486003,453618.739915578,37.5848622547723,127.050490302376
94,20050429,,3,20090415,,,,서울특별시 성동구 도선동 58-0번지 ,,,전풍관광호텔,,,,
95,2022-09-26,,1,,,,,서울특별시 강북구 수유동 174-32 외1필지(174-19),서울특별시 강북구 한천로140길 14 (수유동),1054.0,제이베이 관광호텔,202345.969509268,459791.642805507,,
96,2018-01-11,,1,,,,,서울특별시 광진구 화양동 24-15,서울특별시 광진구 동일로 156 (화양동),5013.0,에이치 에비뉴 건대점,205814.775584133,449312.4702829,37.5460563048263,127.066587372347
97,20141223,,1,,,,,서울특별시 서대문구 대현동 104-5 신촌푸르지오시티,"서울특별시 서대문구 신촌역로 7, 신촌푸르지오시티 14,15,22층 (대현동)",3780.0,신촌 EVER8 레지던스 호텔,194855.910937446,450573.690449065,37.5574230599065,126.942569797001
98,20170526,,1,,,,,서울특별시 광진구 군자동 350-1,서울특별시 광진구 동일로 214 (군자동),5002.0,호텔컬리넌건대2,206049.041722081,449837.413487285,37.5507845696226,127.069242498827
99,20140108,,1,,,,,서울특별시 광진구 군자동 350-6,서울특별시 광진구 동일로 212 (군자동),5002.0,호텔 컬리넌 건대,206032.404204369,449812.167768449,37.5505563672097,127.069053753258
100,20141128,,3,20160908,,,,서울특별시 동대문구 장안동 414-4번지 ,서울특별시 동대문구 천호대로 377 (장안동),2633.0,골든씨티호텔,205320.396297203,451122.642371749,37.5623687301915,127.06100596707
101,19990101,,3,20120901,,,,서울특별시 동대문구 답십리동 497-23번지 ,서울특별시 동대문구 천호대로 257  (답십리동),,시티팔레스호텔,204400.365537226,451854.716617007,37.5689685801361,127.050596840747
102,20150318,,1,,,,,서울특별시 동대문구 신설동 76-32,"서울특별시 동대문구 왕산로 11-1, 4~5층 (신설동)",2580.0,호스텔 메트로,202127.604983917,452682.7306843,37.5764376713265,127.02487342855
103,20111220,,3,20180718,,,,서울특별시 중랑구 상봉동 90-3번지 ,서울특별시 중랑구 망우로50길 22 (상봉동),2149.0,더홀릭 관광호텔,207778.811774353,454861.510993306,37.5960373078702,127.088870062612
104,20040813,,1,,,,,서울특별시 중랑구 상봉동 89-3 ,서울특별시 중랑구 망우로52길 28 (상봉동),2149.0,메이관광호텔,207875.674530468,454873.610188721,37.5961454967695,127.089966984842
105,2015-11-19,,1,,,,,서울특별시 동대문구 전농동 597-41,서울특별시 동대문구 왕산로 226 (전농동),2554.0,HOTEL THE DESIGNERS CHEONGNYANGNI,204138.950468648,453269.018797518,37.5817124834366,127.047645734008
106,20221125,,1,,,,,서울특별시 중구 충무로1가 21-17,서울특별시 중구 명동8나길 38 (충무로1가),4535.0,르메르디앙 서울 명동,198403.083197305,451049.012425837,37.5617188311906,126.982713923738
107,20150917,,1,,,,,서울특별시 중구 태평로2가 366-1 3층 ,"서울특별시 중구 덕수궁길 7, 3층 (태평로2가, 오천회관빌딩)",4515.0,24게스트하우스 서울시청점,197838.506308443,451380.770303032,37.5647067782047,126.976323014384
108,20151006,,1,,,,,서울특별시 중구 을지로5가 274-1 ,"서울특별시 중구 동호로35길 5 (을지로5가, 석광빌딩)",4547.0,에이큐브 호텔,200110.335302043,451549.054429182,37.5662256914531,127.002036961181
109,19731224,,1,,,,,서울특별시 중구 충무로2가 61-3,"서울특별시 중구 퇴계로 145 (충무로2가, 세종호텔)",4537.0,세종호텔,198866.36491721,451021.050960516,37.5614676538883,126.987957498953
110,20140203,,3,20201210,,,,서울특별시 종로구 숭인동 200-33 2층 ,"서울특별시 종로구 종로 382, 2층 (숭인동)",3115.0,호스텔코리아 10호점,201687.573879734,452408.346754198,37.5739654758614,127.019891179799
111,19910413,,3,20180327,,,,서울특별시 성북구 보문동4가 77-2번지 ,서울특별시 성북구 보문로 78 (보문동4가),2852.0,브라운 관광호텔,201810.388914346,453337.054032254,37.5823336666791,127.021284014112
