,사업장명,관광숙박업상세명,건물용도명,지번주소,도로명주소,위도,경도,객실수,시설면적,시설규모,인허가일자,인허가취소일자,영업상태코드,폐업일자,휴업시작일자,휴업종료일자,재개업일자,데이터갱신일자
0,호텔 데님(Hotel Denim),,,서울특별시 강남구 개포동 1229-14,서울특별시 강남구 논현로 66 (개포동),37.4761898374266,127.046615783737,,,,2015-02-03,,1,,,,,2022-12-02 22:09:00.0
1,티마크그랜드호텔명동,,,서울특별시 중구 회현동1가 194-15,"서울특별시 중구 퇴계로 52 (회현동1가, 인송빌딩)",37.5584542141531,126.978646384966,,,,2016-05-17,,3,2023-02-28,,,,2022-12-03 00:03:00.0
2,위너스,,,서울특별시 금천구 독산동 335-21,서울특별시 금천구 가산로3길 103 (독산동),37.4719591362672,126.88981682459,,,,2021-04-06,,1,,,,,2022-12-02 23:02:00.0
3,데이즈 호텔 명동,,,서울특별시 중구 충무로1가 24-30,서울특별시 중구 퇴계로 107 (충무로1가),37.5609527542889,126.983631098738,,,,2014-07-22,,1,,,,,2022-12-02 23:05:00.0
4,강남패밀리호텔,,,서울특별시 강남구 논현동 205-8,"서울특별시 강남구 봉은사로 143 (논현동, 운현오피스텔)",37.5064735388581,127.030156367516,,,,2016-03-29,,2,,2023-01-01,2023-12-31,,2022-12-03 23:02:00.0
5,(주)서부티엔디 노보텔 앰배서더 서울 용산,,,서울특별시 용산구 한강로3가 40-969 서울드래곤시티,"서울특별시 용산구 청파로20길 95, 서울드래곤시티 (한강로3가)",37.5319146846199,126.962788981096,,,,2017-09-29,,1,,,,,2022-12-02 23:09:00.0
6,남산스토리 나인,,,서울특별시 중구 회현동1가 100-104,서울특별시 중구 퇴계로8길 93 (회현동1가),37.5557536554398,126.980746416771,,,,2020-09-10,,1,,,,,2022-12-03 00:05:00.0
7,롯데시티호텔명동,,,서울특별시 중구 장교동 74,"서울특별시 중구 삼일대로 362 (장교동, 장교빌딩)",37.5669367134426,126.98807580841,,,,2016-01-07,,1,,,,,2022-12-03 00:05:00.0
8,ROJIN(로진),,,서울특별시 영등포구 양평동1가 136,서울특별시 영등포구 선유로23길 4 (양평동1가),37.5230248129931,126.889609075944,,,,2021-12-20,,1,,,,,2022-12-02 23:01:00.0
9,아난티 앳 강남,,,서울특별시 강남구 논현동 74-6,서울특별시 강남구 논현로 734 (논현동),37.5176026218653,127.029567890475,,,,2022-06-16,,1,,,,,2022-12-01 23:05:00.0
10,나인트리 프리미어 로카우스호텔 서울 용산(Nine Tree Premier ROKAUS Hotel Seoul Yongsan),,,서울특별시 용산구 한강로3가 40-708,서울특별시 용산구 한강대로23길 25 (한강로3가),37.5276520096644,126.964424036493,,,,2023-03-27,,1,,,,,2022-12-02 22:09:00.0
11,JARDIN HOTEL,,,서울특별시 영등포구 영등포동4가 73,서울특별시 영등포구 영신로34길 33 (영등포동4가),37.5191736255567,126.904677270326,,,,2015-12-07,,1,,,,,2022-12-03 22:03:00.0
12,호텔포레스타1호점,,,서울특별시 송파구 잠실동 180-7,서울특별시 송파구 백제고분로7길 23-6 (잠실동),37.5109623980756,127.08164024438,,,,20171229,,1,,,,,2021-12-04 22:05:00.0
13,G3호텔,,,서울특별시 중구 필동1가 44-1,서울특별시 중구 충무로 7 (필동1가),37.5618266518125,126.992909424112,,,,20221111,,1,,,,,2022-11-30 22:00:00.0
14,우주 남산점,,,서울특별시 중구 남산동2가 36-6,"서울특별시 중구 소공로6길 29, 1-2층 (남산동2가)",37.5586364437507,126.984772101991,,,,20170213,,1,,,,,2021-12-06 00:04:00.0
15,삼화,,,서울특별시 관악구 신림동 1432-62,"서울특별시 관악구 신림로65길 10-33, 삼화 (신림동)",37.4859164167929,126.928669568022,,,,20191015,,1,,,,,2021-12-07 00:07:00.0
16,나이스타임 관광호텔,,,서울특별시 관악구 신림동 1422-18,서울특별시 관악구 신림로64길 28 (신림동),37.4849902065191,126.931298351144,,,,20140618,,1,,,,,2021-12-07 00:07:00.0
17,스트디오93,,,서울특별시 관악구 신림동 1432-93,서울특별시 관악구 신림로65길 16-4 (신림동),37.4852879567366,126.928658180383,,,,20170829,,3,20221017,,,,2021-10-30 23:09:00.0
18,코트야드 메리어트 서울 보타닉파크,,,서울특별시 강서구 마곡동 766-1 메리어트호텔,"서울특별시 강서구 마곡중앙12로 10, 메리어트호텔 (마곡동)",37.5670161653345,126.828976147839,,,,20180503,,1,,,,,2021-11-01 22:04:00.0
19,(주)호텔롯데 L7홍대,,,서울특별시 마포구 동교동 160-5 롯데호텔 L7홍대,"서울특별시 마포구 양화로 141, 롯데호텔 L7홍대 (동교동)",37.5557239014989,126.921631579426,,,,2018-01-29,,1,,,,,2022-12-03 00:04:00.0
20,신라스테이,,,서울특별시 동작구 신대방동 698,"서울특별시 동작구 시흥대로 596 (신대방동, 신라스테이해링턴타워)",37.4855793853597,126.904476195421,,,,20160202,,1,,,,,2021-12-03 23:05:00.0
21,신라스테이서대문,,,서울특별시 서대문구 미근동 333,서울특별시 서대문구 충정로 76 (미근동),37.5651572276797,126.966774328509,,,,20150427,,1,,,,,2021-12-03 22:04:00.0
22,골드 마운틴77,,,서울특별시 구로구 가리봉동 135-90,서울특별시 구로구 남부순환로105다길 13 (가리봉동),37.4799011070086,126.891203594462,,,,20200525,,1,,,,,2021-10-31 21:00:00.0
23,이비스 스타일 앰배서더 서울 명동,,,서울특별시 중구 충무로2가 53-10,서울특별시 중구 삼일대로 302 (충무로2가),37.5616825861454,126.989359120022,,,,20150309,,1,,,,,2021-12-07 23:02:00.0
24,(주)호텔롯데 L7 강남,,,서울특별시 강남구 삼성동 142-41,"서울특별시 강남구 테헤란로 415, L7 HOTELS 강남타워 (삼성동)",37.5057027179383,127.051550959968,,,,2017-12-15,,1,,,,,2022-12-03 00:04:00.0
25,호스텔 27,,,서울특별시 성동구 용답동 228-12,서울특별시 성동구 자동차시장1길 27 (용답동),37.5614033157753,127.06064967412,,,,2015-10-02,,1,,,,,2022-12-03 00:04:00.0
26,(주)호텔롯데 롯데시티호텔 구로,,,서울특별시 구로구 구로동 188-25 지밸리비즈플라자,"서울특별시 구로구 디지털로 300, 지밸리비즈플라자 (구로동)",37.4848946937354,126.896539890577,,,,2014-07-21,,1,,,,,2022-12-03 00:04:00.0
27,(주)호텔롯데 롯데시티 호텔마포,,,서울특별시 마포구 공덕동 467 롯데캐슬프레지던트,"서울특별시 마포구 마포대로 109 (공덕동, 롯데캐슬프레지던트)",37.5448825237705,126.950548979183,,,,2009-03-09,,1,,,,,2022-12-03 00:04:00.0
28,신라스테이 삼성,,,서울특별시 강남구 삼성동 168-3 유니온타워,"서울특별시 강남구 영동대로 506, 유니온타 (삼성동)",37.5100573227007,127.063143122583,,,,2020-04-01,,1,,,,,2022-12-02 22:06:00.0
29,호텔리베라서울,,,서울특별시 강남구 청담동 53-7,"서울특별시 강남구 영동대로 737 (청담동, 호텔리베라)",37.5238945447249,127.054124187197,,,,1978-05-01,,1,,,,,2022-12-03 00:04:00.0
30,어바웃스테이 신사점,,,서울특별시 강남구 신사동 502-11,"서울특별시 강남구 강남대로 620, 3층 (신사동, 영일빌딩)",37.5171814543146,127.019845104141,,,,2016-09-23,,1,,,,,2022-12-01 23:06:00.0
31,메리어트 이그제큐티브 아파트먼트 서울,,,서울특별시 영등포구 여의도동 28-3,"서울특별시 영등포구 여의대로 8 (여의도동, 여의도파크센터)",37.5211769172422,126.918654960576,,,,20070816,,1,,,,,2021-10-31 23:09:00.0
32,호텔 브릿지,,,서울특별시 영등포구 양평동2가 40-5,서울특별시 영등포구 영등포로 9 (양평동2가),37.523807057583,126.882596179332,,,,20141127,,1,,,,,2021-12-06 00:04:00.0
33,임피리얼팰리스호텔,,,서울특별시 강남구 논현동 248-7,"서울특별시 강남구 언주로 640 (논현동, 임페리얼팰리스호텔)",37.5139856872084,127.035875892358,,,,1989-09-12,,2,,2023-03-01,2023-08-31,,2022-12-01 23:01:00.0
34,이비스 앰배서더 명동,,,서울특별시 중구 명동1가 59-5,서울특별시 중구 남대문로 78 (명동1가),37.5641894140338,126.983062193942,,,,20070703,,1,,,,,2021-12-02 21:01:00.0
35,이비스 스타일 앰배서더 강남,,,서울특별시 강남구 대치동 893-1,서울특별시 강남구 삼성로 431 (대치동),37.505111464434,127.057068458462,,,,20031013,,1,,,,,2021-12-03 22:01:00.0
36,목시 서울 명동,,,서울특별시 중구 충무로1가 21-17,서울특별시 중구 명동8나길 38 (충무로1가),37.5617188311906,126.982713923738,,,,20221125,,1,,,,,2022-11-30 22:00:00.0
37,영동관광호텔,,,서울특별시 강남구 논현동 6 6-1,"서울특별시 강남구 도산대로 144 (논현동, 영동관광호텔)",,,,,,19971230,,3,20220418,,,,2021-12-03 22:00:00.0
38,호텔 PJ,,,서울특별시 중구 인현동2가 73-1,서울특별시 중구 마른내로 71 (인현동2가),37.5648116074415,126.995700232349,,,,19700701,,1,,,,,2021-12-04 00:01:00.0
39,메이필드호텔,,,서울특별시 강서구 외발산동 426,서울특별시 강서구 방화대로 94 (외발산동),37.5471176651686,126.818418581799,,,,20020706,,1,,,,,2021-12-03 22:07:00.0
40,호텔 이비스앰배서더 인사동,,,서울특별시 종로구 익선동 34-8 호텔 이비스앰배서더 인사동,"서울특별시 종로구 삼일대로30길 31 (익선동, 호텔 이비스앰배서더 인사동)",37.5744408529329,126.989219311582,,,,20130925,,1,,,,,2021-12-07 00:08:00.0
41,호텔쿠레타케소,,,서울특별시 종로구 인사동 34-2,서울특별시 종로구 인사동길 20-9 (인사동),37.5723707934704,126.987179538283,,,,20180611,,1,,,,,2021-12-05 23:09:00.0
42,호텔 다다-인사,,,서울특별시 종로구 익선동 46,서울특별시 종로구 삼일대로32가길 33 (익선동),37.5746487412535,126.989539870839,,,,20130213,,1,,,,,2022-12-01 00:07:00.0
43,호텔롯데 엘세븐명동,,,서울특별시 중구 충무로2가 62-12,서울특별시 중구 퇴계로 137 (충무로2가),37.5613659177411,126.986980299262,,,,2016-01-12,,1,,,,,2022-12-03 00:05:00.0
44,(주)호텔롯데 롯데시티호텔 김포공항,,,서울특별시 강서구 방화동 886 외 6필지,서울특별시 강서구 하늘길 38 (방화동),,,,,,2011-11-30,,1,,,,,2022-12-03 00:05:00.0
45,"지니의 2층 3룸 주택(Genie's second floor, three room house)",,,서울특별시 구로구 구로동 707-11,서울특별시 구로구 가마산로 158-2 (구로동),37.489935037708,126.881499133677,,,,2023-02-08,,1,,,,,2022-12-01 23:00:00.0
46,서울YMCA관광호텔,,,서울특별시 종로구 종로2가 9 (8층),"서울특별시 종로구 종로 69 (종로2가, YMCA)",37.5706057036739,126.9852891232,,,,19670403,,2,,20230101,20271231,,2021-11-01 22:03:00.0
47,아름호스텔,호스텔업,,서울특별시 종로구 견지동 21 ,"서울특별시 종로구 율곡로4길 11-3, 1층 (견지동)",37.5750260949758,126.982164870236,6.0,79.0,79.0,20150420,,3,20220215,,,,2022-03-10 02:40:00.0
48,종로하루,,,서울특별시 종로구 원남동 233 종로하루,"서울특별시 종로구 창경궁로21가길 5-3, 종로하루 (원남동)",37.5749772066636,126.996558291984,,,,2023-02-15,,1,,,,,2022-12-01 23:09:00.0
49,Hostel STAY NOW,호스텔업,숙박시설,서울특별시 종로구 익선동 89 ,서울특별시 종로구 삼일대로32가길 38 (익선동),37.5745494674881,126.989720329128,20.0,547.0,547.0,20130512,,3,20201127,,,,2020-11-29 02:40:00.0
50,루미아호텔,,,서울특별시 종로구 숭인동 1405,서울특별시 종로구 난계로29길 19-11 (숭인동),37.5738460345582,127.022244034845,,,,2018-02-14,,1,,,,,2022-12-04 00:08:00.0
51,가온,,,서울특별시 영등포구 양평동1가 31-5 가온,"서울특별시 영등포구 선유로24길 3-3, 가온 (양평동1가)",37.5231082514333,126.89068069393,,,,20220526,,1,,,,,2021-12-04 22:08:00.0
52,보코 서울 강남,,,서울특별시 강남구 논현동 6 보코서울강남(가족호텔),"서울특별시 강남구 도산대로 144, 보코서울강남(가족호텔) (논현동)",37.5176731303712,127.024637971318,,,,20220418,,1,,,,,2021-12-03 22:00:00.0
53,브릭스관광호텔,,,서울특별시 은평구 응암동 109-7,서울특별시 은평구 은평로8길 1 (응암동),37.5999038501185,126.921192430803,,,,20160913,,1,,,,,2021-12-06 00:04:00.0
54,제이오너 호스텔,,,서울특별시 중구 회현동2가 42-10,"서울특별시 중구 소공로6나길 8, 1-2층 (회현동2가)",37.5580546970379,126.983628563751,,,,20220329,,1,,,,,2021-12-04 00:03:00.0
55,셀립 순라,,,서울특별시 종로구 권농동 127-1,서울특별시 종로구 율곡로10길 11 (권농동),37.5770258834462,126.991240571817,,,,20150126,,1,,,,,2021-12-06 00:04:00.0
