,index,위경도 missing
0,0,서울특별시 중구 인현동1가 158
1,21,"서울특별시 서초구 서초동 1317-9 ,10호 2층~6층"
2,39,"서울특별시 중구 오장동 139-20 삼덕빌딩 4,5,6층"
3,42,서울특별시 중구 필동1가 43-1
4,44,서울특별시 중구 북창동 13-2
5,58,서울특별시 중구 인현동1가 94-1
6,64,서울특별시 강동구 천호동 328-10
7,67,서울특별시 중구 충무로2가 12-8
8,76,서울특별시 종로구 창신동 460-1번지 
9,93,서울특별시 중구 쌍림동 25-16
10,101,서울특별시 성동구 도선동 117-0
11,103,서울특별시 성동구 도선동 115-0
12,109,서울특별시 종로구 낙원동 283-14
13,110,서울특별시 중구 필동1가 43-1
14,123,서울특별시 양천구 신월동 83-4
15,132,서울특별시 종로구 익선동 53
16,154,서울특별시 강남구 역삼동 678-14 에이치에비뉴호텔 역삼
17,155,서울특별시 성북구 동선동3가 41-1
18,164,서울특별시 은평구 대조동 15-55번지 
19,169,서울특별시 중구 오장동 139-6
20,170,서울특별시 중구 태평로2가 68-6
21,178,서울특별시 중구 을지로6가 18-106번지 
22,189,서울특별시 중구 인현동1가 158
23,190,서울특별시 중구 명동2가 4-2
24,201,서울특별시 중구 남대문로5가 624
25,205,서울특별시 관악구 신림동 1423-6
26,209,서울특별시 중구 회현동1가 194-15 4~18층
27,214,서울특별시 은평구 대조동 15-49
28,232,서울특별시 중랑구 상봉동 89
29,234,서울특별시 중구 신당동 349-110번지 
30,242,서울특별시 종로구 무악동 45-14번지 
31,248,서울특별시 광진구 중곡동 647-16
32,250,서울특별시 종로구 무악동 45-111번지 
33,255,서울특별시 은평구 수색동 371-2
34,256,서울특별시 중구 신당동 95-8번지 
35,261,서울특별시 중구 을지로6가 18-59
36,267,서울특별시 금천구 시흥동 863-50
37,269,서울특별시 성북구 종암동 3-442번지 
38,273,서울특별시 은평구 응암동 산 354-5번지 
39,282,서울특별시 성북구 길음동 20-10번지 
40,283,서울특별시 성북구 길음동 547-48번지 
41,292,서울특별시 금천구 시흥동 985-16
42,294,서울특별시 종로구 내수동 187-0번지 
43,302,"서울특별시 서대문구 대현동 90-37 4,5,6,7,8층"
44,304,"서울특별시 서대문구 홍은동 48-173 1,2층"
45,309,서울특별시 성북구 동소문동3가 7
46,316,서울특별시 중랑구 상봉동 111-28
47,321,서울특별시 중구 충무로3가 43
48,323,서울특별시 종로구 숭인동 1143번지 
49,335,서울특별시 성북구 길음동 544-2번지 
50,338,서울특별시 성북구 하월곡동 33-14번지 
51,342,서울특별시 중구 회현동1가 29-2번지 
52,349,서울특별시 중구 신당동 294-36번지 
53,350,서울특별시 은평구 응암동 산 601-56번지 57 
54,363,서울특별시 종로구 홍파동 185번지 
55,368,서울특별시 종로구 관철동 18-10번지 
56,372,서울특별시 종로구 관철동 19-23번지 4~6층 
57,373,서울특별시 종로구 무악동 46-53번지 
58,377,서울특별시 중구 다동 32-1번지 
59,385,서울특별시 종로구 효제동 246번지 
60,391,서울특별시 강북구 미아동 842-0번지 
61,393,서울특별시 종로구 숭인동 202-0번지 
62,396,서울특별시 중구 태평로2가 312-0번지 
63,397,서울특별시 서대문구 충정로3가 317-0번지 
64,401,서울특별시 중구 수하동 27-1번지 
65,418,서울특별시 종로구 무악동 45-36번지 
66,420,서울특별시 중구 황학동 671번지 
67,440,서울특별시 종로구 무악동 9-14번지 
68,441,서울특별시 중구 회현동1가 14-2번지 
69,443,서울특별시 종로구 공평동 38-0번지 
70,451,서울특별시 도봉구 쌍문동 103-84번지 
71,456,서울특별시 강남구 역삼동 720-17
72,457,서울특별시 종로구 숭인동 188번지 
73,469,서울특별시 종로구 청진동 248-4번지 
74,470,서울특별시 종로구 관철동 43-15
75,491,서울특별시 종로구 당주동 29번지 
76,500,서울특별시 은평구 진관동 251-8번지 
77,511,서울특별시 서대문구 남가좌동 124-425번지 
78,515,서울특별시 종로구 숭인동 178-158번지 
79,530,서울특별시 마포구 아현동 115-0번지 
80,535,서울특별시 종로구 무악동 46-61번지 
81,558,서울특별시 종로구 당주동 26번지 
82,559,서울특별시 성동구 금호동4가 878-0번지 
83,574,서울특별시 성동구 하왕십리동 840-1번지 
84,575,서울특별시 종로구 수송동 85번지 
85,586,서울특별시 성동구 상왕십리동 28-4번지 
86,588,서울특별시 성동구 행당동 68-0번지 
87,589,서울특별시 종로구 무악동 46-36번지 
88,595,서울특별시 종로구 당주동 170-6번지 
89,600,서울특별시 종로구 숭인동 1408번지 
90,628,서울특별시 종로구 공평동 39-3번지 
91,630,서울특별시 종로구 관철동 23번지 
92,663,서울특별시 종로구 평창동 186-0번지 
93,666,서울특별시 종로구 홍파동 93번지 
94,668,서울특별시 종로구 창신동 401-17번지 
95,671,서울특별시 종로구 관수동 21-10번지 
96,674,서울특별시 종로구 홍파동 92번지 
97,681,서울특별시 종로구 평동 80-0번지 
98,682,서울특별시 종로구 무악동 46-13번지 
99,683,서울특별시 종로구 무악동 45-59번지 
100,684,서울특별시 종로구 중학동 66-0번지 
101,687,서울특별시 종로구 익선동 56-3번지 
102,713,서울특별시 종로구 내수동 120-0번지 
103,722,서울특별시 종로구 청진동 168번지 
104,727,서울특별시 종로구 청진동 152번지 
105,731,서울특별시 종로구 청진동 275번지 
106,733,서울특별시 종로구 종로6가 215-0번지 
107,737,서울특별시 종로구 창신동 279 
108,738,서울특별시 종로구 무악동 46-55번지 
109,747,서울특별시 종로구 봉익동 10-10번지 
110,753,서울특별시 종로구 무악동 46-131번지 
111,759,서울특별시 종로구 무악동 46-35번지 
112,760,서울특별시 종로구 무악동 46-49번지 
113,761,서울특별시 종로구 신문로2가 1-402번지 
114,764,서울특별시 종로구 청진동 165-7번지 
115,771,서울특별시 종로구 숭인동 1406번지 
116,773,서울특별시 종로구 교남동 94번지 
117,776,서울특별시 종로구 창신동 385-1번지 
118,780,서울특별시 성동구 행당동 39-6번지 
119,788,서울특별시 종로구 숭인동 94-0번지 
