,평점,숙박가격,객실수,총후기,경쟁업소_수(1km내),경쟁업소_최단거리(1km내),경쟁업소_최장거리(1km내),경쟁업소_평균거리(1km내),버스정류장_수(1km내),지하철역_수(1km내),버스정류장_최단거리(1km내),버스정류장_평균거리(1km내),지하철역_최단거리(1km내),지하철역_평균거리(1km내),교통유동인구_월평균승차수(1km내),교통유동인구_월평균하차수(1km내),교통유동인구_월평균승하차총계(1km내),관광지_수(1km내),쇼핑몰_수(1km내),관광지_최단거리(1km내),관광지_평균거리(1km내),쇼핑몰_최단거리(1km내),쇼핑몰_평균거리(1km내)
0,4.8,250000,269,169,48,0.28,0.99,0.66,58,9,0.05,0.68,0.35,0.72,65461.18,66068.77,131529.95,6,6,0.61,0.82,0.57,0.79
1,4.7,200640,319,4416,8,0.43,0.83,0.6,45,3,0.07,0.67,0.09,0.62,41877.82,44699.42,86577.24,9,2,0.19,0.63,0.75,0.87
2,4.8,143000,378,7717,5,0.14,0.88,0.38,134,7,0.07,0.63,0.07,0.42,20412.48,20203.94,40616.42,3,3,0.7,0.79,0.18,0.23
4,4.7,158000,274,36,10,0.41,0.97,0.64,58,3,0.04,0.62,0.25,0.53,23108.84,23304.33,46413.18,15,7,0.13,0.5,0.14,0.43
5,4.6,187000,282,3645,12,0.03,1.0,0.63,61,3,0.15,0.59,0.12,0.56,56439.25,57304.34,113743.59,10,4,0.2,0.56,0.31,0.42
6,4.6,264000,621,5517,10,0.0,0.91,0.42,99,4,0.15,0.68,0.41,0.66,18449.56,17955.72,36405.29,12,7,0.12,0.57,0.14,0.39
8,4.7,124900,109,4678,1,0.71,0.71,0.71,66,2,0.21,0.68,0.54,0.57,28183.96,27355.81,55539.77,4,6,0.52,0.69,0.66,0.78
11,4.5,130000,310,7375,10,0.35,0.9,0.59,93,2,0.09,0.63,0.26,0.53,46442.75,46648.83,93091.59,7,4,0.11,0.7,0.58,0.68
12,4.9,447000,6,18,93,0.05,0.99,0.59,119,10,0.06,0.65,0.17,0.7,104293.22,104387.37,208680.59,13,13,0.31,0.65,0.38,0.49
13,4.7,335850,286,1532,10,0.0,0.91,0.42,99,4,0.15,0.68,0.41,0.66,18449.56,17955.72,36405.29,12,7,0.12,0.57,0.14,0.39
