,index,위경도 missing
0,4,"서울특별시 중구 남산동2가 33 1,2층"
1,23,서울특별시 서초구 서초동 1593-1 외 2필 1층~9층
2,35,서울특별시 동작구 노량진동 211-47 외1필지
3,49,"서울특별시 종로구 교북동 1-12 45,43"
4,158,"서울특별시 강서구 화곡동 24-63 ,592"
5,162,서울특별시 서대문구 미근동 163
6,164,서울특별시 은평구 대조동 15-55번지 
7,178,서울특별시 중구 을지로6가 18-106번지 
8,193,서울특별시 중구 장교동 22-4
9,209,서울특별시 중구 회현동1가 194-15 4~18층
10,234,서울특별시 중구 신당동 349-110번지 
11,242,서울특별시 종로구 무악동 45-14번지 
12,250,서울특별시 종로구 무악동 45-111번지 
13,256,서울특별시 중구 신당동 95-8번지 
14,269,서울특별시 성북구 종암동 3-442번지 
15,273,서울특별시 은평구 응암동 산 354-5번지 
16,282,서울특별시 성북구 길음동 20-10번지 
17,283,서울특별시 성북구 길음동 547-48번지 
18,294,서울특별시 종로구 내수동 187-0번지 
19,302,"서울특별시 서대문구 대현동 90-37 4,5,6,7,8층"
20,323,서울특별시 종로구 숭인동 1143번지 
21,331,서울특별시 강서구 화곡동 938-16 .17
22,335,서울특별시 성북구 길음동 544-2번지 
23,338,서울특별시 성북구 하월곡동 33-14번지 
24,342,서울특별시 중구 회현동1가 29-2번지 
25,349,서울특별시 중구 신당동 294-36번지 
26,350,서울특별시 은평구 응암동 산 601-56번지 57 
27,363,서울특별시 종로구 홍파동 185번지 
28,373,서울특별시 종로구 무악동 46-53번지 
29,377,서울특별시 중구 다동 32-1번지 
30,385,서울특별시 종로구 효제동 246번지 
31,391,서울특별시 강북구 미아동 842-0번지 
32,393,서울특별시 종로구 숭인동 202-0번지 
33,396,서울특별시 중구 태평로2가 312-0번지 
34,397,서울특별시 서대문구 충정로3가 317-0번지 
35,401,서울특별시 중구 수하동 27-1번지 
36,418,서울특별시 종로구 무악동 45-36번지 
37,420,서울특별시 중구 황학동 671번지 
38,436,"서울특별시 종로구 낙원동 181,183번지 "
39,440,서울특별시 종로구 무악동 9-14번지 
40,441,서울특별시 중구 회현동1가 14-2번지 
41,443,서울특별시 종로구 공평동 38-0번지 
42,451,서울특별시 도봉구 쌍문동 103-84번지 
43,457,서울특별시 종로구 숭인동 188번지 
44,469,서울특별시 종로구 청진동 248-4번지 
45,484,서울특별시 중구 충무로2가 61-2 5~7층
46,486,"서울특별시 강남구 대치동 890-61 5,6층"
47,491,서울특별시 종로구 당주동 29번지 
48,495,서울특별시 종로구 낙원동 191번지 
49,497,서울특별시 종로구 낙원동 163번지 외 1필지(165번지) 
50,499,서울특별시 종로구 권농동 155-2
51,500,서울특별시 은평구 진관동 251-8번지 
52,511,서울특별시 서대문구 남가좌동 124-425번지 
53,515,서울특별시 종로구 숭인동 178-158번지 
54,528,서울특별시 종로구 효제동 207-0
55,530,서울특별시 마포구 아현동 115-0번지 
56,532,서울특별시 종로구 숭인동 1092번지 
57,534,서울특별시 종로구 낙원동 87-1번지 
58,535,서울특별시 종로구 무악동 46-61번지 
59,551,서울특별시 종로구 종로5가 93 
60,555,서울특별시 종로구 수송동 51-8번지 
61,558,서울특별시 종로구 당주동 26번지 
62,559,서울특별시 성동구 금호동4가 878-0번지 
63,574,서울특별시 성동구 하왕십리동 840-1번지 
64,586,서울특별시 성동구 상왕십리동 28-4번지 
65,587,서울특별시 종로구 관수동 137번지 외2필지 
66,588,서울특별시 성동구 행당동 68-0번지 
67,589,서울특별시 종로구 무악동 46-36번지 
68,594,서울특별시 종로구 낙원동 132-6번지 외1필지(132-7) 
69,595,서울특별시 종로구 당주동 170-6번지 
70,617,"서울특별시 종로구 관철동 15-1번지 3,5,6층 "
71,628,서울특별시 종로구 공평동 39-3번지 
72,652,서울특별시 종로구 낙원동 169-1번지 외1필지(170번지) 
73,658,서울특별시 종로구 충신동 150-250번지 
74,663,서울특별시 종로구 평창동 186-0번지 
75,666,서울특별시 종로구 홍파동 93번지 
76,668,서울특별시 종로구 창신동 401-17번지 
77,674,서울특별시 종로구 홍파동 92번지 
78,681,서울특별시 종로구 평동 80-0번지 
79,682,서울특별시 종로구 무악동 46-13번지 
80,683,서울특별시 종로구 무악동 45-59번지 
